"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"Evans","DJ YOSHITAKA","185","6","8","10.6","414","491","805"
"天国と地獄","Mutsuhiko Izumi","195","3","8","9.4","282","482","623"
"凛として咲く花の如く","紅色リトマス","163","4","6","9.1","331","532","772"
"ウィリアム・テル序曲","W.T.Orchestra","120-190","3","7","8","223","422","639"
"情熱大陸","(葉加瀬太郎)","128","2","7","9.4","188","415","721"
"空色デイズ","(中川翔子)","174","3","6","8","206","332","515"
"星に願いを","flumpool","137","2","4","7","118","251","395"
"HOT LIMIT","(HIGH and MIGHTY COLOR)","139","5","6","8","262","432","574"
"R.P.G.～Rockin' Playing Game","SuG","205","4","7","9.5","318","543","869"
"I'm so Happy","Ryu☆","181","4","8","10.2","265","529","806"
"only my railgun","fripSide","143","3","6","8","219","392","558"
"元気でやってるのかい?","イルリメ","165","3","8","9.8","266","678","855"
"じょいふる","(いきものがかり)","159","1","6","8","147","395","564"
"白鳥の湖","Swan Lake Orchestra","180-300","4","7","9.7","350","469","666"
"FLOWER","DJ YOSHITAKA","173","6","9.7","10.5","477","828","939"
"LISTEN TO THE STEREO!!","GOING UNDER GROUND","182","3","6","8","212","452","664"
"アルストロメリア","TAG","144","5","6","9.5","356","457","764"
"オムライス","オーロラ三人娘","177","2","6","8","204","518","759"
"SWEET CUBE","plazma","140","2","5","9.8","156","333","656"
"トルコ行進曲","T.M. Orchestra","150-199","4","7","10.2","330","528","827"
"僕らの永遠～何度生まれ変わっても、 手を繋ぎたいだけの愛だから～","WEAVER","128","2","5","7","143","342","497"
"Love at First Sight","Fear, and Loathing in Las Vegas","160","3","7","9.7","260","565","677"
"天ノ弱","164 feat. GUMI","200-205","3","5","8","196","398","675"
"いーあるふぁんくらぶ","みきとP","145","2","5","8","187","321","607"
"イブの時代っ！","日向美ビタースイーツ♪","210","4","6","8","297","371","751"
"ETERNAL BLAZE","(水樹奈々)","105-155","1","6","8","133","343","484"
"Elemental Creation","dj TAKA meets DJ YOSHITAKA","212","5","8","10.6","498","715","1023"
"カタルシスの月","日向美ビタースイーツ♪","200","4","6","9.2","318","442","745"
"恋とキングコング","日向美ビタースイーツ♪","158","4","7","8","375","535","685"
